,concelho,population_2015,density_2015
0,Lisboa,504471,5042.0
1,Sintra,382521,1198.3
2,Vila Nova de Gaia,301172,1787.7
3,Porto,214579,5180.5
4,Cascais,210361,2159.7
5,Loures,205870,1231.0
6,Braga,181502,989.7
7,Matosinhos,173451,2778.8
8,Amadora,176644,7426.8
9,Almada,169689,2423.8
10,Oeiras,173339,3777.8
11,Gondomar,166338,1261.4
12,Seixal,164625,1724.7
13,Guimarães,154920,642.9
14,Odivelas,154462,5819.2
15,Coimbra,134578,421.3
16,Santa Maria da Feira,139478,646.1
17,Vila Franca de Xira,140614,441.9
18,Maia,135678,1634.8
19,Vila Nova de Famalicão,133028,659.9
20,Leiria,125721,222.5
21,Setúbal,117780,511.4
22,Barcelos,118605,313.0
23,Funchal,105562,1386.0
24,Viseu,98164,193.6
25,Valongo,95188,1267.1
26,Viana do Castelo,86136,270.0
27,Paredes,86554,552.2
28,Vila do Conde,79399,532.8
29,Torres Vedras,78989,194.0
30,Barreiro,76433,2100.3
31,Aveiro,76882,389.1
32,Mafra,81961,281.0
33,Penafiel,70759,333.4
34,Santo Tirso,69557,509.2
35,Loulé,69453,90.9
36,Ponta Delgada,68403,293.6
37,Oliveira de Azeméis,66978,415.7
38,Moita,65104,1178.1
39,Faro,61019,301.2
40,Póvoa de Varzim,62522,760.6
41,Palmela,64110,137.8
42,Santarém,58688,106.2
43,Figueira da Foz,60415,159.4
44,Felgueiras,57246,494.6
45,Alcobaça,55063,134.9
46,Évora,53654,41.0
47,Paços de Ferreira,57024,803.2
48,Amarante,54432,180.6
49,Castelo Branco,53507,37.2
50,Portimão,55439,304.5
51,Ovar,54607,369.7
52,Pombal,53604,85.6
53,Marco de Canaveses,52480,259.9
54,Vila Real,50376,133.0
55,Covilhã,48741,87.7
56,Caldas da Rainha,51542,201.6
57,Montijo,55153,158.2
58,Fafe,49351,225.3
59,Sesimbra,50734,259.2
60,Vila Verde,47428,207.4
61,Águeda,46825,139.7
62,Lousada,47075,490.0
63,Ourém,45037,108.1
64,Olhão,45253,345.8
65,Ponte de Lima,42512,132.7
66,Alenquer,43136,141.8
67,Santa Cruz,43925,538.9
68,Guarda,40237,56.5
69,Chaves,40138,67.9
70,Albufeira,40357,286.9
71,Tomar,38183,108.7
72,Abrantes,36701,51.4
73,Trofa,38264,531.3
74,Marinha Grande,38613,206.2
75,Ílhavo,38367,522.2
76,Silves,36547,53.7
77,Torres Novas,35587,131.8
78,Cantanhede,35878,91.8
79,Beja,34148,29.8
80,Câmara de Lobos,34246,656.5
81,Angra do Heroísmo,34586,144.7
82,Bragança,34033,29.0
83,Esposende,34040,356.8
84,Ribeira Grande,32720,181.6
85,Espinho,29708,1410.9
86,Lagos,30778,144.5
87,Santiago do Cacém,29183,27.5
88,Fundão,27714,39.6
89,Anadia,27993,129.2
90,Benavente,29874,57.3
91,Tondela,27701,74.6
92,Peniche,26994,348.1
93,Estarreja,26338,243.5
94,Lamego,25480,154.0
95,Montemor-o-Velho,25678,112.1
96,Tavira,25415,41.9
97,Odemira,25135,14.6
98,Lourinhã,25629,174.1
99,Albergaria-a-Velha,24476,154.1
100,Portalegre,23175,51.8
101,Seia,23329,53.5
102,Cartaxo,24020,151.9
103,Porto de Mós,23792,90.9
104,Mirandela,22419,34.0
105,Vizela,23802,963.7
106,Almeirim,23092,104.0
107,Elvas,21571,34.2
108,Oliveira do Bairro,23661,271.0
109,Lagoa (Algarve),22787,258.2
110,Vale de Cambra,21911,148.7
111,Vagos,22905,138.9
112,Arcos de Valdevez,21621,48.3
113,Arouca,21392,65.0
